SL,WL1,WL2,SC,LC1,LC2,level
1,192,857,238,123,31,1
1,200,940,232,113,52,1
1,267,1260,319,172,42,1
1,214,1125,272,134,49,1
1,117,707,162,88,20,1
1,158,753,184,117,34,1
1,184,968,246,137,36,1
1,215,1019,258,120,49,1
1,243,1251,283,156,51,1
1,203,1069,227,111,47,1
1,118,566,132,83,25,1
1,107,517,126,68,21,1
1,160,795,177,123,21,1
1,292,1418,335,149,60,1
1,139,676,168,92,29,1
1,291,1518,383,172,58,1
1,280,1376,339,168,67,1
1,183,856,211,131,31,1
1,246,1263,304,130,59,1
1,217,1230,282,169,41,1
1,218,996,261,127,44,1
1,167,814,201,127,33,1
1,187,978,237,132,36,1
1,211,1064,263,146,43,1
1,249,1222,287,177,48,1
1,200,1117,270,145,48,1
1,162,814,186,115,27,1
1,158,827,197,115,28,1
1,159,917,177,97,34,1
1,169,921,183,107,37,1
1,226,1089,253,121,40,1
1,163,887,195,111,26,1
1,246,1353,287,164,50,1
1,81,457,131,60,20,1
1,173,857,188,114,39,1+
1,113,529,124,89,17,1+
1,284,1386,305,184,49,1+
1,129,643,158,71,27,1+
1,240,1246,293,130,53,1+
1,144,705,163,117,21,1+
1,170,924,194,122,34,1+
1,155,783,170,103,32,1+
1,135,657,154,104,25,1+
1,152,757,175,126,23,1+
1,224,1055,239,150,33,1+
1,142,711,155,100,29,1+
1,259,1176,303,136,55,1+
1,155,786,172,125,21,1+
1,279,1408,303,169,56,1+
1,119,609,129,96,16,1+
1,164,843,182,124,33,1+
1,270,1350,291,190,39,1+
1,128,668,156,92,29,1+
1,245,1269,267,101,47,1+
1,200,1025,231,129,36,1+
1,129,643,143,84,24,1+
1,245,1201,265,146,45,1+
1,217,979,237,156,30,1+
1,153,822,186,117,26,1+
1,140,622,148,94,26,1+
1,151,786,172,124,21,1+
1,162,754,174,111,35,1+
1,161,917,184,106,34,1+
1,398,2033,411,215,62,2
1,670,3376,763,401,106,2
1,248,1244,271,143,56,2
1,225,1052,266,167,39,2
1,435,2164,489,253,81,2
1,423,2070,470,230,79,2
1,318,1522,375,199,59,2
1,505,2666,527,259,95,2
1,335,1715,373,193,61,2
1,398,1990,443,235,68,2
1,196,961,218,130,39,2
1,407,2136,420,240,70,2
1,357,1748,383,208,61,2
1,299,1471,332,189,55,2
1,541,2745,578,316,86,2
1,223,1110,251,153,42,2
1,311,1592,345,192,54,2
1,331,1616,356,186,58,2
1,283,1373,303,169,62,2
1,455,2263,506,230,73,2
1,466,2348,519,237,78,2
1,393,1891,437,213,60,2
1,673,3413,740,359,115,2
1,314,1570,353,185,63,2
1,384,1871,438,235,66,2
1,210,1042,233,130,38,2
1,408,1995,452,279,58,2
1,363,1853,390,210,61,2
1,494,2258,533,247,94,2
1,356,1724,384,202,59,2
1,379,1792,392,214,68,2
1,252,1256,286,174,35,2
1,381,1991,398,210,65,2
1,357,1758,405,220,65,2
1,302,1521,325,214,53,2
1,425,2282,499,277,75,2
1,298,1472,339,162,59,2
1,320,1737,365,191,47,2
1,524,2598,573,302,76,2
1,544,2758,607,314,83,2
1,411,1943,455,266,72,2
1,400,1882,422,246,61,2
1,241,1098,246,138,44,2
1,374,1947,404,220,64,2
1,274,1307,292,177,39,2
1,647,3266,712,326,109,2
1,378,1910,415,238,68,2
1,318,1548,360,199,62,2
1,300,1534,326,203,51,2
1,448,2241,500,295,68,2
1,283,1366,305,194,43,2
1,312,1642,333,188,55,2
1,340,1629,374,198,58,2
1,469,2312,539,279,69,2
1,376,1827,407,224,64,2
1,265,1385,293,199,34,2
1,316,1561,337,187,53,2
1,355,1632,375,209,60,2
1,309,1503,335,195,51,2
1,313,1566,352,186,59,2
1,211,971,235,153,33,2
1,477,2443,543,237,93,2
1,353,1786,397,228,53,2
1,119,562,127,88,20,2
1,312,1510,343,172,61,2
1,387,2078,460,272,64,2
1,270,1389,283,157,51,2
1,457,2160,483,245,82,2
1,240,1159,291,171,38,2
1,469,2289,535,304,74,2
1,394,1887,437,238,71,2
1,191,1035,214,134,34,2
1,353,1684,391,209,68,2
1,389,1899,413,230,71,2
1,235,1123,257,132,38,2
1,263,1313,285,186,40,2
1,399,2008,432,233,75,2
1,274,1387,292,172,53,2
1,432,2249,488,218,91,2
1,259,1199,279,169,42,2
1,267,1352,280,154,48,2
1,314,1549,344,189,53,2
1,247,1363,263,138,49,2
1,234,1147,260,158,38,2
1,274,1299,284,171,46,2
1,181,926,195,123,33,2
1,346,1603,363,196,64,2
1,399,2175,471,247,71,2
1,341,1586,387,178,53,2
1,423,2094,463,265,73,2
1,284,1352,343,178,62,2
1,201,999,211,140,35,2
1,612,3015,659,353,100,2
1,388,1882,456,216,74,2
1,405,2075,441,249,81,2
1,319,1630,345,210,53,2+
1,373,1849,426,229,61,2+
1,251,1346,303,179,47,2+
1,390,2096,425,212,70,2+
1,425,2015,483,226,78,2+
1,331,1635,372,200,62,2+
1,320,1487,353,183,59,2+
1,521,2541,584,281,84,2+
1,531,2625,573,296,86,2+
1,374,1987,420,198,75,2+
1,443,2247,501,273,76,2+
1,355,1832,394,222,56,2+
1,295,1374,313,159,57,2+
1,348,1604,377,169,69,2+
1,607,2873,641,282,100,2+
1,583,2833,630,304,102,2+
1,494,2304,580,262,93,2+
1,487,2423,533,247,90,2+
1,373,2043,419,213,58,2+
1,362,1810,399,200,74,2+
1,284,1573,332,203,40,2+
1,475,2250,513,260,82,2+
1,699,3511,810,310,120,2+
1,340,1651,377,191,52,2+
1,392,1754,452,246,66,2+
1,537,2747,565,335,81,2+
1,522,2682,578,300,90,2+
1,379,1815,422,240,61,2+
1,349,1691,375,214,58,2+
1,480,2490,529,231,80,2+
1,429,2315,478,266,74,2+
1,498,2606,533,275,79,2+
1,313,1584,334,187,62,2+
1,346,1612,389,218,55,2+
1,264,1275,296,186,39,2+
1,57,284,63,48,8,2+
1,405,2049,450,251,80,2+
1,477,2199,551,271,87,2+
1,479,2344,532,242,88,2+
1,497,2494,552,263,82,2+
1,334,1598,384,190,59,2+
1,220,1069,251,147,45,2+
1,307,1398,341,193,52,2+
1,242,1303,262,152,42,2+
1,300,1579,341,193,54,2+
1,365,1853,426,216,68,2+
1,386,1873,419,245,62,2+
1,378,1829,439,241,55,2+
